+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                 20 |   1 |    RUNNING |   WAITING |
|                 20 |   2 |        NEW |     READY |
|                 20 |   3 |        NEW |     READY |
|                 20 |   4 |        NEW |     READY |
|                 20 |   5 |        NEW |     READY |
|                 20 |   2 |      READY |   RUNNING |
|                 45 |   2 |    RUNNING |   WAITING |
|                 45 |   3 |      READY |   RUNNING |
|                 55 |   3 |    RUNNING |   WAITING |
|                 55 |   1 |    WAITING |     READY |
|                 55 |   4 |      READY |   RUNNING |
|                 85 |   4 |    RUNNING |   WAITING |
|                 85 |   2 |    WAITING |     READY |
|                 85 |   3 |    WAITING |     READY |
|                 85 |   5 |      READY |   RUNNING |
|                100 |   5 |    RUNNING |   WAITING |
|                100 |   1 |      READY |   RUNNING |
|                120 |   1 |    RUNNING |   WAITING |
|                120 |   2 |      READY |   RUNNING |
|                145 |   2 |    RUNNING |   WAITING |
|                145 |   4 |    WAITING |     READY |
|                145 |   5 |    WAITING |     READY |
|                145 |   3 |      READY |   RUNNING |
|                155 |   3 |    RUNNING |   WAITING |
|                155 |   1 |    WAITING |     READY |
|                155 |   4 |      READY |   RUNNING |
|                185 |   4 |    RUNNING |   WAITING |
|                185 |   2 |    WAITING |     READY |
|                185 |   3 |    WAITING |     READY |
|                185 |   5 |      READY |   RUNNING |
|                200 |   5 |    RUNNING |   WAITING |
|                200 |   1 |      READY |   RUNNING |
|                220 |   1 |    RUNNING |   WAITING |
|                220 |   2 |      READY |   RUNNING |
|                245 |   2 |    RUNNING |   WAITING |
|                245 |   4 |    WAITING |     READY |
|                245 |   5 |    WAITING |     READY |
|                245 |   3 |      READY |   RUNNING |
|                255 |   3 |    RUNNING |   WAITING |
|                255 |   1 |    WAITING |     READY |
|                255 |   4 |      READY |   RUNNING |
|                285 |   4 |    RUNNING |   WAITING |
|                285 |   2 |    WAITING |     READY |
|                285 |   3 |    WAITING |     READY |
|                285 |   5 |      READY |   RUNNING |
|                300 |   5 |    RUNNING |   WAITING |
|                300 |   1 |      READY |   RUNNING |
|                320 |   1 |    RUNNING |   WAITING |
|                320 |   2 |      READY |   RUNNING |
|                345 |   2 |    RUNNING |   WAITING |
|                345 |   4 |    WAITING |     READY |
|                345 |   5 |    WAITING |     READY |
|                345 |   3 |      READY |   RUNNING |
|                355 |   3 |    RUNNING |   WAITING |
|                355 |   1 |    WAITING |     READY |
|                355 |   4 |      READY |   RUNNING |
|                385 |   4 |    RUNNING |   WAITING |
|                385 |   2 |    WAITING |     READY |
|                385 |   3 |    WAITING |     READY |
|                385 |   5 |      READY |   RUNNING |
|                400 |   5 |    RUNNING |   WAITING |
|                400 |   1 |      READY |   RUNNING |
|                420 |   1 |    RUNNING |   WAITING |
|                420 |   2 |      READY |   RUNNING |
|                445 |   2 |    RUNNING |   WAITING |
|                445 |   4 |    WAITING |     READY |
|                445 |   5 |    WAITING |     READY |
|                445 |   3 |      READY |   RUNNING |
|                455 |   3 |    RUNNING |   WAITING |
|                455 |   1 |    WAITING |     READY |
|                455 |   4 |      READY |   RUNNING |
|                485 |   4 |    RUNNING |   WAITING |
|                485 |   2 |    WAITING |     READY |
|                485 |   3 |    WAITING |     READY |
|                485 |   5 |      READY |   RUNNING |
