+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |           8 |   -1, -1, -1, -1, 1, -1,  |                92 |                92 |
|            2 |          23 |    -1, -1, 2, -1, 1, -1,  |                77 |                77 |
|            4 |          33 |     -1, -1, 2, 3, 1, -1,  |                67 |                67 |
|            6 |          58 |      -1, 4, 2, 3, 1, -1,  |                42 |                42 |
|            8 |          98 |       5, 4, 2, 3, 1, -1,  |                 2 |                 2 |
|           45 |          83 |      5, 4, -1, 3, 1, -1,  |                17 |                17 |
|           50 |          75 |     5, 4, -1, 3, -1, -1,  |                25 |                25 |
|           71 |          65 |    5, 4, -1, -1, -1, -1,  |                35 |                35 |
|          104 |          40 |   5, -1, -1, -1, -1, -1,  |                60 |                60 |
|          145 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
