+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                 10 |   1 |    RUNNING |   WAITING |
|                 10 |   2 |        NEW |     READY |
|                 10 |   3 |        NEW |     READY |
|                 10 |   4 |        NEW |     READY |
|                 10 |   5 |        NEW |     READY |
|                 10 |   2 |      READY |   RUNNING |
|                 18 |   2 |    RUNNING |   WAITING |
|                 18 |   1 |    WAITING |     READY |
|                 18 |   3 |      READY |   RUNNING |
|                 33 |   3 |    RUNNING |   WAITING |
|                 33 |   2 |    WAITING |     READY |
|                 33 |   4 |      READY |   RUNNING |
|                 38 |   4 |    RUNNING |   WAITING |
|                 38 |   5 |      READY |   RUNNING |
|                 45 |   5 |    RUNNING |   WAITING |
|                 45 |   3 |    WAITING |     READY |
|                 45 |   4 |    WAITING |     READY |
|                 45 |   1 |      READY |   RUNNING |
|                 55 |   1 |    RUNNING |   WAITING |
|                 55 |   5 |    WAITING |     READY |
|                 55 |   2 |      READY |   RUNNING |
|                 63 |   2 |    RUNNING |   WAITING |
|                 63 |   1 |    WAITING |     READY |
|                 63 |   3 |      READY |   RUNNING |
|                 78 |   3 |    RUNNING |   WAITING |
|                 78 |   2 |    WAITING |     READY |
|                 78 |   4 |      READY |   RUNNING |
|                 83 |   4 |    RUNNING |   WAITING |
|                 83 |   5 |      READY |   RUNNING |
|                 90 |   5 |    RUNNING |   WAITING |
|                 90 |   3 |    WAITING |     READY |
|                 90 |   4 |    WAITING |     READY |
|                 90 |   1 |      READY |   RUNNING |
|                100 |   1 |    RUNNING |   WAITING |
|                100 |   5 |    WAITING |     READY |
|                100 |   2 |      READY |   RUNNING |
|                108 |   2 |    RUNNING |   WAITING |
|                108 |   1 |    WAITING |     READY |
|                108 |   3 |      READY |   RUNNING |
|                123 |   3 |    RUNNING |   WAITING |
|                123 |   2 |    WAITING |     READY |
|                123 |   4 |      READY |   RUNNING |
|                128 |   4 |    RUNNING |   WAITING |
|                128 |   5 |      READY |   RUNNING |
|                135 |   5 |    RUNNING |   WAITING |
|                135 |   3 |    WAITING |     READY |
|                135 |   4 |    WAITING |     READY |
|                135 |   1 |      READY |   RUNNING |
|                145 |   1 |    RUNNING |   WAITING |
|                145 |   5 |    WAITING |     READY |
|                145 |   2 |      READY |   RUNNING |
|                153 |   2 |    RUNNING |   WAITING |
|                153 |   1 |    WAITING |     READY |
|                153 |   3 |      READY |   RUNNING |
|                168 |   3 |    RUNNING | TERMINATED |
|                168 |   2 |    WAITING |     READY |
|                168 |   8 |        NEW |     READY |
|                168 |   4 |      READY |   RUNNING |
|                173 |   4 |    RUNNING |   WAITING |
|                173 |   5 |      READY |   RUNNING |
|                180 |   5 |    RUNNING |   WAITING |
|                180 |   4 |    WAITING |     READY |
|                180 |   1 |      READY |   RUNNING |
|                190 |   1 |    RUNNING | TERMINATED |
|                190 |   5 |    WAITING |     READY |
|                190 |   2 |      READY |   RUNNING |
|                198 |   2 |    RUNNING | TERMINATED |
|                198 |   9 |        NEW |     READY |
|                198 |  10 |        NEW |     READY |
|                198 |   8 |      READY |   RUNNING |
|                201 |   8 |    RUNNING |   WAITING |
|                201 |   4 |      READY |   RUNNING |
|                206 |   4 |    RUNNING |   WAITING |
|                206 |   8 |    WAITING |     READY |
