+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |          10 |   -1, -1, -1, 1, -1, -1,  |                90 |                90 |
|            3 |          25 |    -1, -1, 2, 1, -1, -1,  |                75 |                75 |
|            6 |          50 |     -1, 3, 2, 1, -1, -1,  |                50 |                50 |
|            9 |          58 |      -1, 3, 2, 1, 4, -1,  |                42 |                42 |
|           12 |          98 |       5, 3, 2, 1, 4, -1,  |                 2 |                 2 |
|          140 |          58 |      -1, 3, 2, 1, 4, -1,  |                42 |                42 |
|          140 |          98 |       9, 3, 2, 1, 4, -1,  |                 2 |                 2 |
|          159 |          90 |      9, 3, 2, 1, -1, -1,  |                10 |                10 |
|          161 |          98 |       9, 3, 2, 1, 6, -1,  |                 2 |                 2 |
|          192 |          73 |      9, -1, 2, 1, 6, -1,  |                27 |                27 |
|          192 |          98 |       9, 8, 2, 1, 6, -1,  |                 2 |                 2 |
|          212 |          83 |      9, 8, -1, 1, 6, -1,  |                17 |                17 |
|          239 |          73 |     9, 8, -1, -1, 6, -1,  |                27 |                27 |
|          248 |          65 |    9, 8, -1, -1, -1, -1,  |                35 |                35 |
|          313 |          25 |   -1, 8, -1, -1, -1, -1,  |                75 |                75 |
|          313 |          65 |    7, 8, -1, -1, -1, -1,  |                35 |                35 |
|          339 |          40 |   7, -1, -1, -1, -1, -1,  |                60 |                60 |
|          379 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
