+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  2 |   2 |        NEW |     READY |
|                  3 |   2 |      READY |   RUNNING |
|                  4 |   3 |        NEW |     READY |
|                  6 |   4 |        NEW |     READY |
|                  6 |   3 |      READY |   RUNNING |
|                  8 |   5 |        NEW |     READY |
|                  9 |   4 |      READY |   RUNNING |
|                 12 |   5 |      READY |   RUNNING |
|                 51 |   3 |    RUNNING |   WAITING |
|                 71 |   3 |    WAITING |     READY |
|                 75 |   3 |      READY |   RUNNING |
|                 77 |   1 |    RUNNING |   WAITING |
|                 78 |   5 |    RUNNING |   WAITING |
|                100 |   2 |    RUNNING |   WAITING |
|                103 |   5 |    WAITING |     READY |
|                104 |   3 |    RUNNING |   WAITING |
|                105 |   5 |      READY |   RUNNING |
|                107 |   1 |    WAITING |     READY |
|                109 |   1 |      READY |   RUNNING |
|                118 |   4 |    RUNNING |   WAITING |
|                124 |   3 |    WAITING |     READY |
|                126 |   3 |      READY |   RUNNING |
|                140 |   2 |    WAITING |     READY |
|                143 |   2 |      READY |   RUNNING |
|                145 |   5 |    RUNNING |   WAITING |
|                155 |   3 |    RUNNING |   WAITING |
|                162 |   1 |    RUNNING |   WAITING |
|                168 |   4 |    WAITING |     READY |
|                169 |   4 |      READY |   RUNNING |
|                170 |   5 |    WAITING |     READY |
|                172 |   5 |      READY |   RUNNING |
|                175 |   3 |    WAITING |     READY |
|                178 |   3 |      READY |   RUNNING |
|                192 |   1 |    WAITING |     READY |
|                196 |   1 |      READY |   RUNNING |
|                213 |   2 |    RUNNING |   WAITING |
|                219 |   3 |    RUNNING |   WAITING |
|                229 |   5 |    RUNNING |   WAITING |
|                239 |   3 |    WAITING |     READY |
|                241 |   3 |      READY |   RUNNING |
|                253 |   2 |    WAITING |     READY |
|                254 |   5 |    WAITING |     READY |
|                256 |   2 |      READY |   RUNNING |
|                258 |   5 |      READY |   RUNNING |
|                260 |   1 |    RUNNING |   WAITING |
|                269 |   4 |    RUNNING |   WAITING |
|                274 |   3 |    RUNNING |   WAITING |
|                290 |   1 |    WAITING |     READY |
|                292 |   1 |      READY |   RUNNING |
|                294 |   3 |    WAITING |     READY |
|                297 |   5 |    RUNNING |   WAITING |
|                297 |   3 |      READY |   RUNNING |
|                319 |   4 |    WAITING |     READY |
|                322 |   5 |    WAITING |     READY |
|                322 |   4 |      READY |   RUNNING |
|                326 |   3 |    RUNNING |   WAITING |
|                326 |   5 |      READY |   RUNNING |
|                329 |   2 |    RUNNING |   WAITING |
|                346 |   3 |    WAITING |     READY |
|                349 |   3 |      READY |   RUNNING |
|                356 |   1 |    RUNNING |   WAITING |
|                369 |   2 |    WAITING |     READY |
|                372 |   5 |    RUNNING |   WAITING |
|                372 |   2 |      READY |   RUNNING |
|                380 |   3 |    RUNNING |   WAITING |
|                386 |   1 |    WAITING |     READY |
|                388 |   1 |      READY |   RUNNING |
|                397 |   5 |    WAITING |     READY |
|                400 |   3 |    WAITING |     READY |
|                400 |   5 |      READY |   RUNNING |
|                404 |   3 |      READY |   RUNNING |
|                423 |   4 |    RUNNING |   WAITING |
|                445 |   3 |    RUNNING |   WAITING |
|                457 |   2 |    RUNNING |   WAITING |
|                458 |   5 |    RUNNING |   WAITING |
