+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |           8 |   -1, -1, -1, -1, 1, -1,  |                92 |                92 |
|            1 |          23 |    -1, -1, 2, -1, 1, -1,  |                77 |                77 |
|            2 |          33 |     -1, -1, 2, 3, 1, -1,  |                67 |                67 |
|            3 |          58 |      -1, 4, 2, 3, 1, -1,  |                42 |                42 |
|            4 |          98 |       5, 4, 2, 3, 1, -1,  |                 2 |                 2 |
|           61 |          90 |      5, 4, 2, 3, -1, -1,  |                10 |                10 |
|           64 |          98 |      5, 4, 2, 3, 15, -1,  |                 2 |                 2 |
|           96 |          83 |     5, 4, -1, 3, 15, -1,  |                17 |                17 |
|           96 |          98 |     5, 4, 11, 3, 15, -1,  |                 2 |                 2 |
|          119 |          90 |     5, 4, 11, 3, -1, -1,  |                10 |                10 |
|          121 |          80 |    5, 4, 11, -1, -1, -1,  |                20 |                20 |
|          122 |          90 |    5, 4, 11, 14, -1, -1,  |                10 |                10 |
|          123 |          98 |     5, 4, 11, 14, 7, -1,  |                 2 |                 2 |
|          145 |          73 |    5, -1, 11, 14, 7, -1,  |                27 |                27 |
|          145 |          98 |    5, 13, 11, 14, 7, -1,  |                 2 |                 2 |
|          182 |          90 |   5, 13, 11, 14, -1, -1,  |                10 |                10 |
|          192 |          75 |   5, 13, -1, 14, -1, -1,  |                25 |                25 |
|          194 |          90 |   5, 13, 12, 14, -1, -1,  |                10 |                10 |
|          207 |          50 |  -1, 13, 12, 14, -1, -1,  |                50 |                50 |
|          207 |          90 |   8, 13, 12, 14, -1, -1,  |                10 |                10 |
|          210 |          80 |   8, 13, 12, -1, -1, -1,  |                20 |                20 |
|          269 |          55 |   8, -1, 12, -1, -1, -1,  |                45 |                45 |
|          269 |          80 |    8, 6, 12, -1, -1, -1,  |                20 |                20 |
|          270 |          65 |    8, 6, -1, -1, -1, -1,  |                35 |                35 |
|          365 |          25 |   -1, 6, -1, -1, -1, -1,  |                75 |                75 |
|          365 |          65 |    9, 6, -1, -1, -1, -1,  |                35 |                35 |
|          384 |          40 |   9, -1, -1, -1, -1, -1,  |                60 |                60 |
|          438 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|          438 |          40 |  10, -1, -1, -1, -1, -1,  |                60 |                60 |
|          553 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
