+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |           8 |   -1, -1, -1, -1, 1, -1,  |                92 |                92 |
|            5 |          23 |    -1, -1, 2, -1, 1, -1,  |                77 |                77 |
|            5 |          33 |     -1, -1, 2, 3, 1, -1,  |                67 |                67 |
|           15 |          58 |      -1, 4, 2, 3, 1, -1,  |                42 |                42 |
|           15 |          98 |       5, 4, 2, 3, 1, -1,  |                 2 |                 2 |
|          113 |          83 |      5, 4, -1, 3, 1, -1,  |                17 |                17 |
|          114 |          73 |     5, 4, -1, -1, 1, -1,  |                27 |                27 |
|          119 |          65 |    5, 4, -1, -1, -1, -1,  |                35 |                35 |
|          120 |          40 |   5, -1, -1, -1, -1, -1,  |                60 |                60 |
|          125 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
