+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |           8 |   -1, -1, -1, -1, 1, -1,  |                92 |                92 |
|            1 |          23 |    -1, -1, 2, -1, 1, -1,  |                77 |                77 |
|            2 |          33 |     -1, -1, 2, 3, 1, -1,  |                67 |                67 |
|            3 |          58 |      -1, 4, 2, 3, 1, -1,  |                42 |                42 |
|            4 |          98 |       5, 4, 2, 3, 1, -1,  |                 2 |                 2 |
|           21 |          90 |      5, 4, 2, 3, -1, -1,  |                10 |                10 |
|           24 |          98 |      5, 4, 2, 3, 15, -1,  |                 2 |                 2 |
|           45 |          83 |     5, 4, -1, 3, 15, -1,  |                17 |                17 |
|           47 |          98 |     5, 4, 11, 3, 15, -1,  |                 2 |                 2 |
|           66 |          88 |    5, 4, 11, -1, 15, -1,  |                12 |                12 |
|           67 |          98 |     5, 4, 11, 7, 15, -1,  |                 2 |                 2 |
|           99 |          73 |    5, -1, 11, 7, 15, -1,  |                27 |                27 |
|           99 |          98 |    5, 13, 11, 7, 15, -1,  |                 2 |                 2 |
|          131 |          88 |   5, 13, 11, -1, 15, -1,  |                12 |                12 |
|          135 |          98 |   5, 13, 11, 14, 15, -1,  |                 2 |                 2 |
|          157 |          58 |  -1, 13, 11, 14, 15, -1,  |                42 |                42 |
|          157 |          98 |   9, 13, 11, 14, 15, -1,  |                 2 |                 2 |
|          220 |          58 |  -1, 13, 11, 14, 15, -1,  |                42 |                42 |
|          220 |          98 |   8, 13, 11, 14, 15, -1,  |                 2 |                 2 |
|          236 |          83 |   8, 13, -1, 14, 15, -1,  |                17 |                17 |
|          236 |          98 |   8, 13, 12, 14, 15, -1,  |                 2 |                 2 |
|          306 |          83 |   8, 13, -1, 14, 15, -1,  |                17 |                17 |
|          306 |          98 |    8, 13, 6, 14, 15, -1,  |                 2 |                 2 |
|          338 |          58 |   -1, 13, 6, 14, 15, -1,  |                42 |                42 |
|          338 |          98 |   10, 13, 6, 14, 15, -1,  |                 2 |                 2 |
|          384 |          83 |  10, 13, -1, 14, 15, -1,  |                17 |                17 |
|          422 |          58 |  10, -1, -1, 14, 15, -1,  |                42 |                42 |
|          465 |          48 |  10, -1, -1, -1, 15, -1,  |                52 |                52 |
|          483 |           8 |  -1, -1, -1, -1, 15, -1,  |                92 |                92 |
|          484 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
