+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  1 |   2 |        NEW |     READY |
|                  2 |   3 |        NEW |     READY |
|                  3 |   4 |        NEW |     READY |
|                  4 |   5 |        NEW |     READY |
|                 10 |   1 |    RUNNING |   WAITING |
|                 10 |   2 |      READY |   RUNNING |
|                 15 |   1 |    WAITING |     READY |
|                 15 |   1 |      READY |   RUNNING |
|                 25 |   1 |    RUNNING |   WAITING |
|                 28 |   2 |    RUNNING |   WAITING |
|                 28 |   3 |      READY |   RUNNING |
|                 30 |   1 |    WAITING |     READY |
|                 30 |   1 |      READY |   RUNNING |
|                 34 |   2 |    WAITING |     READY |
|                 40 |   1 |    RUNNING |   WAITING |
|                 40 |   2 |      READY |   RUNNING |
|                 45 |   1 |    WAITING |     READY |
|                 45 |   1 |      READY |   RUNNING |
|                 55 |   1 |    RUNNING |   WAITING |
|                 58 |   2 |    RUNNING |   WAITING |
|                 60 |   1 |    WAITING |     READY |
|                 60 |   1 |      READY |   RUNNING |
|                 64 |   2 |    WAITING |     READY |
|                 70 |   1 |    RUNNING | TERMINATED |
|                 70 |   2 |      READY |   RUNNING |
|                 72 |   8 |        NEW |     READY |
|                 78 |   2 |    RUNNING |   WAITING |
|                 84 |   2 |    WAITING |     READY |
|                 84 |   2 |      READY |   RUNNING |
|                 92 |   2 |    RUNNING |   WAITING |
|                 97 |   3 |    RUNNING |   WAITING |
|                 97 |   4 |      READY |   RUNNING |
|                 98 |   2 |    WAITING |     READY |
|                 98 |   2 |      READY |   RUNNING |
|                105 |   3 |    WAITING |     READY |
|                106 |   2 |    RUNNING | TERMINATED |
|                106 |   3 |      READY |   RUNNING |
|                108 |   9 |        NEW |     READY |
|                121 |   3 |    RUNNING |   WAITING |
|                125 |   4 |    RUNNING |   WAITING |
|                125 |   5 |      READY |   RUNNING |
|                129 |   3 |    WAITING |     READY |
|                129 |   4 |    WAITING |     READY |
|                129 |   3 |      READY |   RUNNING |
|                144 |   3 |    RUNNING |   WAITING |
|                144 |   4 |      READY |   RUNNING |
|                149 |   4 |    RUNNING |   WAITING |
|                152 |   5 |    RUNNING |   WAITING |
|                152 |   3 |    WAITING |     READY |
|                152 |   3 |      READY |   RUNNING |
|                153 |   4 |    WAITING |     READY |
|                157 |   5 |    WAITING |     READY |
|                167 |   3 |    RUNNING | TERMINATED |
|                167 |   7 |        NEW |     READY |
|                167 |   4 |      READY |   RUNNING |
|                172 |   4 |    RUNNING |   WAITING |
|                172 |   5 |      READY |   RUNNING |
|                176 |   4 |    WAITING |     READY |
|                176 |   4 |      READY |   RUNNING |
|                181 |   4 |    RUNNING |   WAITING |
|                184 |   5 |    RUNNING |   WAITING |
|                184 |   7 |      READY |   RUNNING |
|                185 |   4 |    WAITING |     READY |
|                185 |   4 |      READY |   RUNNING |
|                189 |   5 |    WAITING |     READY |
|                190 |   4 |    RUNNING |   WAITING |
|                190 |   5 |      READY |   RUNNING |
|                194 |   4 |    WAITING |     READY |
|                194 |   4 |      READY |   RUNNING |
|                199 |   4 |    RUNNING | TERMINATED |
|                199 |  10 |        NEW |     READY |
|                202 |   5 |    RUNNING |   WAITING |
|                207 |   5 |    WAITING |     READY |
|                207 |   5 |      READY |   RUNNING |
