+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |           8 |   -1, -1, -1, -1, 1, -1,  |                92 |                92 |
|           10 |          18 |    -1, -1, -1, 2, 1, -1,  |                82 |                82 |
|           10 |          33 |     -1, -1, 3, 2, 1, -1,  |                67 |                67 |
|           22 |          58 |      -1, 4, 3, 2, 1, -1,  |                42 |                42 |
|           22 |          98 |       5, 4, 3, 2, 1, -1,  |                 2 |                 2 |
|          175 |          88 |      5, 4, 3, -1, 1, -1,  |                12 |                12 |
|          175 |          98 |      5, 4, 3, 10, 1, -1,  |                 2 |                 2 |
|          193 |          90 |     5, 4, 3, 10, -1, -1,  |                10 |                10 |
|          208 |          65 |    5, -1, 3, 10, -1, -1,  |                35 |                35 |
|          208 |          90 |     5, 9, 3, 10, -1, -1,  |                10 |                10 |
|          227 |          75 |    5, 9, -1, 10, -1, -1,  |                25 |                25 |
|          227 |          90 |     5, 9, 6, 10, -1, -1,  |                10 |                10 |
|          244 |          50 |    -1, 9, 6, 10, -1, -1,  |                50 |                50 |
|          244 |          90 |     7, 9, 6, 10, -1, -1,  |                10 |                10 |
|          359 |          80 |     7, 9, 6, -1, -1, -1,  |                20 |                20 |
|          375 |          65 |    7, 9, -1, -1, -1, -1,  |                35 |                35 |
|          396 |          40 |   7, -1, -1, -1, -1, -1,  |                60 |                60 |
|          396 |          65 |    7, 8, -1, -1, -1, -1,  |                35 |                35 |
|          409 |          25 |   -1, 8, -1, -1, -1, -1,  |                75 |                75 |
|          445 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
