+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  3 |   2 |        NEW |     READY |
|                  4 |   2 |      READY |   RUNNING |
|                  6 |   1 |    RUNNING |   WAITING |
|                  6 |   3 |        NEW |     READY |
|                  7 |   3 |      READY |   RUNNING |
|                  9 |   4 |        NEW |     READY |
|                 11 |   1 |    WAITING |     READY |
|                 11 |   4 |      READY |   RUNNING |
|                 12 |   5 |        NEW |     READY |
|                 14 |   1 |      READY |   RUNNING |
|                 16 |   5 |      READY |   RUNNING |
|                 19 |   2 |    RUNNING |   WAITING |
|                 21 |   4 |    RUNNING |   WAITING |
|                 23 |   2 |    WAITING |     READY |
|                 23 |   4 |    WAITING |     READY |
|                 26 |   2 |      READY |   RUNNING |
|                 27 |   4 |      READY |   RUNNING |
|                 30 |   5 |    RUNNING |   WAITING |
|                 33 |   5 |    WAITING |     READY |
|                 34 |   1 |    RUNNING |   WAITING |
|                 37 |   4 |    RUNNING |   WAITING |
|                 37 |   5 |      READY |   RUNNING |
|                 39 |   1 |    WAITING |     READY |
|                 39 |   4 |    WAITING |     READY |
|                 42 |   3 |    RUNNING |   WAITING |
|                 42 |   1 |      READY |   RUNNING |
|                 43 |   4 |      READY |   RUNNING |
|                 49 |   2 |    RUNNING |   WAITING |
|                 50 |   5 |    RUNNING |   WAITING |
|                 50 |   3 |    WAITING |     READY |
|                 52 |   4 |    RUNNING |   WAITING |
|                 52 |   3 |      READY |   RUNNING |
|                 53 |   2 |    WAITING |     READY |
|                 53 |   5 |    WAITING |     READY |
|                 54 |   4 |    WAITING |     READY |
|                 55 |   2 |      READY |   RUNNING |
|                 56 |   5 |      READY |   RUNNING |
|                 58 |   1 |    RUNNING |   WAITING |
|                 58 |   4 |      READY |   RUNNING |
|                 63 |   1 |    WAITING |     READY |
|                 67 |   4 |    RUNNING |   WAITING |
|                 67 |   1 |      READY |   RUNNING |
|                 69 |   4 |    WAITING |     READY |
|                 71 |   5 |    RUNNING |   WAITING |
|                 73 |   4 |      READY |   RUNNING |
|                 74 |   5 |    WAITING |     READY |
|                 78 |   5 |      READY |   RUNNING |
|                 80 |   2 |    RUNNING |   WAITING |
|                 83 |   4 |    RUNNING |   WAITING |
|                 84 |   2 |    WAITING |     READY |
|                 85 |   1 |    RUNNING |   WAITING |
|                 85 |   4 |    WAITING |     READY |
|                 87 |   2 |      READY |   RUNNING |
|                 88 |   4 |      READY |   RUNNING |
|                 90 |   3 |    RUNNING |   WAITING |
|                 90 |   1 |    WAITING |     READY |
|                 91 |   5 |    RUNNING |   WAITING |
|                 93 |   1 |      READY |   RUNNING |
|                 94 |   5 |    WAITING |     READY |
|                 96 |   4 |    RUNNING |   WAITING |
|                 97 |   5 |      READY |   RUNNING |
|                 98 |   3 |    WAITING |     READY |
|                 98 |   4 |    WAITING |     READY |
|                101 |   3 |      READY |   RUNNING |
|                102 |   4 |      READY |   RUNNING |
|                109 |   2 |    RUNNING |   WAITING |
|                110 |   1 |    RUNNING |   WAITING |
|                111 |   5 |    RUNNING |   WAITING |
|                113 |   4 |    RUNNING |   WAITING |
|                113 |   2 |    WAITING |     READY |
|                114 |   5 |    WAITING |     READY |
|                114 |   2 |      READY |   RUNNING |
|                115 |   1 |    WAITING |     READY |
