+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  5 |   2 |        NEW |     READY |
|                 10 |   1 |    RUNNING |   WAITING |
|                 10 |   3 |        NEW |     READY |
|                 10 |   2 |      READY |   RUNNING |
|                 15 |   1 |    WAITING |     READY |
|                 15 |   4 |        NEW |     READY |
|                 15 |   1 |      READY |   RUNNING |
|                 20 |   5 |        NEW |     READY |
|                 25 |   1 |    RUNNING |   WAITING |
|                 30 |   1 |    WAITING |     READY |
|                 30 |   1 |      READY |   RUNNING |
|                 40 |   1 |    RUNNING |   WAITING |
|                 42 |   2 |    RUNNING |   WAITING |
|                 42 |   3 |      READY |   RUNNING |
|                 45 |   1 |    WAITING |     READY |
|                 45 |   1 |      READY |   RUNNING |
|                 48 |   2 |    WAITING |     READY |
|                 55 |   1 |    RUNNING |   WAITING |
|                 55 |   2 |      READY |   RUNNING |
|                 60 |   1 |    WAITING |     READY |
|                 60 |   1 |      READY |   RUNNING |
|                 70 |   1 |    RUNNING | TERMINATED |
|                 70 |  10 |        NEW |     READY |
|                 77 |   2 |    RUNNING |   WAITING |
|                 82 |   3 |    RUNNING |   WAITING |
|                 82 |   4 |      READY |   RUNNING |
|                 83 |   2 |    WAITING |     READY |
|                 83 |   2 |      READY |   RUNNING |
|                 87 |   3 |    WAITING |     READY |
|                 95 |   2 |    RUNNING |   WAITING |
|                 95 |   3 |      READY |   RUNNING |
|                101 |   2 |    WAITING |     READY |
|                101 |   2 |      READY |   RUNNING |
|                110 |   2 |    RUNNING | TERMINATED |
|                112 |   3 |    RUNNING |   WAITING |
|                117 |   3 |    WAITING |     READY |
|                117 |   3 |      READY |   RUNNING |
|                125 |   3 |    RUNNING |   WAITING |
|                130 |   3 |    WAITING |     READY |
|                130 |   3 |      READY |   RUNNING |
|                138 |   3 |    RUNNING |   WAITING |
|                142 |   4 |    RUNNING |   WAITING |
|                142 |   5 |      READY |   RUNNING |
|                143 |   3 |    WAITING |     READY |
|                143 |   3 |      READY |   RUNNING |
|                150 |   4 |    WAITING |     READY |
|                151 |   3 |    RUNNING | TERMINATED |
|                151 |   7 |        NEW |     READY |
|                151 |   4 |      READY |   RUNNING |
|                166 |   4 |    RUNNING |   WAITING |
|                172 |   5 |    RUNNING |   WAITING |
|                172 |   7 |      READY |   RUNNING |
|                174 |   4 |    WAITING |     READY |
|                174 |   4 |      READY |   RUNNING |
|                176 |   5 |    WAITING |     READY |
|                189 |   4 |    RUNNING |   WAITING |
|                189 |   5 |      READY |   RUNNING |
|                196 |   5 |    RUNNING |   WAITING |
|                197 |   4 |    WAITING |     READY |
|                197 |   4 |      READY |   RUNNING |
|                200 |   5 |    WAITING |     READY |
|                212 |   4 |    RUNNING | TERMINATED |
|                212 |   9 |        NEW |     READY |
|                212 |   5 |      READY |   RUNNING |
|                219 |   5 |    RUNNING |   WAITING |
|                221 |   7 |    RUNNING |   WAITING |
|                221 |   9 |      READY |   RUNNING |
|                223 |   5 |    WAITING |     READY |
|                223 |   5 |      READY |   RUNNING |
|                224 |   7 |    WAITING |     READY |
|                230 |   5 |    RUNNING |   WAITING |
|                230 |   7 |      READY |   RUNNING |
|                234 |   5 |    WAITING |     READY |
|                234 |   5 |      READY |   RUNNING |
