+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  5 |   2 |        NEW |     READY |
|                  6 |   2 |      READY |   RUNNING |
|                 10 |   3 |        NEW |     READY |
|                 12 |   3 |      READY |   RUNNING |
|                 15 |   1 |    RUNNING |   WAITING |
|                 15 |   4 |        NEW |     READY |
|                 17 |   4 |      READY |   RUNNING |
|                 20 |   1 |    WAITING |     READY |
|                 20 |   5 |        NEW |     READY |
|                 23 |   1 |      READY |   RUNNING |
|                 24 |   5 |      READY |   RUNNING |
|                 42 |   3 |    RUNNING |   WAITING |
|                 47 |   2 |    RUNNING |   WAITING |
|                 47 |   3 |    WAITING |     READY |
|                 50 |   3 |      READY |   RUNNING |
|                 53 |   5 |    RUNNING |   WAITING |
|                 53 |   2 |    WAITING |     READY |
|                 56 |   2 |      READY |   RUNNING |
|                 57 |   5 |    WAITING |     READY |
|                 61 |   5 |      READY |   RUNNING |
|                 65 |   1 |    RUNNING |   WAITING |
|                 70 |   1 |    WAITING |     READY |
|                 74 |   1 |      READY |   RUNNING |
|                 82 |   4 |    RUNNING |   WAITING |
|                 83 |   3 |    RUNNING |   WAITING |
|                 88 |   3 |    WAITING |     READY |
|                 89 |   5 |    RUNNING |   WAITING |
|                 90 |   4 |    WAITING |     READY |
|                 91 |   3 |      READY |   RUNNING |
|                 93 |   5 |    WAITING |     READY |
|                 93 |   4 |      READY |   RUNNING |
|                 97 |   5 |      READY |   RUNNING |
|                102 |   2 |    RUNNING |   WAITING |
|                108 |   2 |    WAITING |     READY |
|                112 |   2 |      READY |   RUNNING |
|                114 |   1 |    RUNNING |   WAITING |
|                119 |   1 |    WAITING |     READY |
|                123 |   3 |    RUNNING |   WAITING |
|                123 |   1 |      READY |   RUNNING |
|                125 |   5 |    RUNNING |   WAITING |
|                128 |   3 |    WAITING |     READY |
|                129 |   5 |    WAITING |     READY |
|                131 |   3 |      READY |   RUNNING |
|                133 |   5 |      READY |   RUNNING |
|                158 |   4 |    RUNNING |   WAITING |
|                163 |   5 |    RUNNING |   WAITING |
|                164 |   2 |    RUNNING |   WAITING |
|                165 |   1 |    RUNNING |   WAITING |
|                166 |   3 |    RUNNING |   WAITING |
|                166 |   4 |    WAITING |     READY |
|                166 |   4 |      READY |   RUNNING |
|                167 |   5 |    WAITING |     READY |
|                168 |   5 |      READY |   RUNNING |
|                170 |   2 |    WAITING |     READY |
|                170 |   1 |    WAITING |     READY |
|                171 |   3 |    WAITING |     READY |
|                172 |   2 |      READY |   RUNNING |
|                173 |   1 |      READY |   RUNNING |
|                175 |   3 |      READY |   RUNNING |
|                195 |   5 |    RUNNING | TERMINATED |
|                195 |  10 |        NEW |     READY |
|                199 |  10 |      READY |   RUNNING |
|                211 |   3 |    RUNNING | TERMINATED |
|                211 |   6 |        NEW |     READY |
|                213 |   2 |    RUNNING | TERMINATED |
|                215 |  10 |    RUNNING |   WAITING |
|                215 |   6 |      READY |   RUNNING |
|                218 |   1 |    RUNNING | TERMINATED |
|                218 |  10 |    WAITING |     READY |
|                220 |  10 |      READY |   RUNNING |
|                223 |   4 |    RUNNING |   WAITING |
|                228 |  10 |    RUNNING |   WAITING |
|                231 |   4 |    WAITING |     READY |
|                231 |  10 |    WAITING |     READY |
