+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |          10 |   -1, -1, -1, 1, -1, -1,  |                90 |                90 |
|            2 |          25 |    -1, -1, 2, 1, -1, -1,  |                75 |                75 |
|            4 |          33 |     -1, -1, 2, 1, 3, -1,  |                67 |                67 |
|            6 |          58 |      -1, 4, 2, 1, 3, -1,  |                42 |                42 |
|            8 |          98 |       5, 4, 2, 1, 3, -1,  |                 2 |                 2 |
|          470 |          88 |      5, 4, 2, -1, 3, -1,  |                12 |                12 |
|          690 |          73 |     5, 4, -1, -1, 3, -1,  |                27 |                27 |
|          760 |          65 |    5, 4, -1, -1, -1, -1,  |                35 |                35 |
|         1190 |          40 |   5, -1, -1, -1, -1, -1,  |                60 |                60 |
|         1190 |          65 |    5, 6, -1, -1, -1, -1,  |                35 |                35 |
|         1285 |          25 |   -1, 6, -1, -1, -1, -1,  |                75 |                75 |
|         1680 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
