+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |          10 |   -1, -1, -1, 1, -1, -1,  |                90 |                90 |
|            1 |          25 |    -1, -1, 2, 1, -1, -1,  |                75 |                75 |
|            2 |          50 |     -1, 3, 2, 1, -1, -1,  |                50 |                50 |
|            3 |          58 |      -1, 3, 2, 1, 4, -1,  |                42 |                42 |
|            4 |          98 |       5, 3, 2, 1, 4, -1,  |                 2 |                 2 |
|           70 |          88 |      5, 3, 2, -1, 4, -1,  |                12 |                12 |
|           72 |          98 |       5, 3, 2, 8, 4, -1,  |                 2 |                 2 |
|          106 |          83 |      5, 3, -1, 8, 4, -1,  |                17 |                17 |
|          108 |          98 |       5, 3, 9, 8, 4, -1,  |                 2 |                 2 |
|          167 |          73 |      5, -1, 9, 8, 4, -1,  |                27 |                27 |
|          167 |          98 |       5, 7, 9, 8, 4, -1,  |                 2 |                 2 |
|          199 |          90 |      5, 7, 9, 8, -1, -1,  |                10 |                10 |
|          199 |          98 |      5, 7, 9, 8, 10, -1,  |                 2 |                 2 |
|          246 |          58 |     -1, 7, 9, 8, 10, -1,  |                42 |                42 |
|          246 |          98 |      6, 7, 9, 8, 10, -1,  |                 2 |                 2 |
|          300 |          73 |     6, -1, 9, 8, 10, -1,  |                27 |                27 |
|          346 |          33 |    -1, -1, 9, 8, 10, -1,  |                67 |                67 |
|          358 |          23 |   -1, -1, 9, -1, 10, -1,  |                77 |                77 |
|          424 |           8 |  -1, -1, -1, -1, 10, -1,  |                92 |                92 |
|          427 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
