+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                 10 |   1 |    RUNNING |   WAITING |
|                 10 |   2 |        NEW |     READY |
|                 10 |   3 |        NEW |     READY |
|                 10 |   2 |      READY |   RUNNING |
|                 22 |   2 |    RUNNING |   WAITING |
|                 22 |   1 |    WAITING |     READY |
|                 22 |   4 |        NEW |     READY |
|                 22 |   5 |        NEW |     READY |
|                 22 |   3 |      READY |   RUNNING |
|                 30 |   3 |    RUNNING |   WAITING |
|                 30 |   2 |    WAITING |     READY |
|                 30 |   1 |      READY |   RUNNING |
|                 40 |   1 |    RUNNING |   WAITING |
|                 40 |   3 |    WAITING |     READY |
|                 40 |   4 |      READY |   RUNNING |
|                 55 |   4 |    RUNNING |   WAITING |
|                 55 |   1 |    WAITING |     READY |
|                 55 |   5 |      READY |   RUNNING |
|                 62 |   5 |    RUNNING |   WAITING |
|                 62 |   2 |      READY |   RUNNING |
|                 74 |   2 |    RUNNING |   WAITING |
|                 74 |   4 |    WAITING |     READY |
|                 74 |   5 |    WAITING |     READY |
|                 74 |   3 |      READY |   RUNNING |
|                 82 |   3 |    RUNNING |   WAITING |
|                 82 |   2 |    WAITING |     READY |
|                 82 |   1 |      READY |   RUNNING |
|                 92 |   1 |    RUNNING |   WAITING |
|                 92 |   3 |    WAITING |     READY |
|                 92 |   4 |      READY |   RUNNING |
|                107 |   4 |    RUNNING |   WAITING |
|                107 |   1 |    WAITING |     READY |
|                107 |   5 |      READY |   RUNNING |
|                114 |   5 |    RUNNING |   WAITING |
|                114 |   2 |      READY |   RUNNING |
|                126 |   2 |    RUNNING |   WAITING |
|                126 |   4 |    WAITING |     READY |
|                126 |   5 |    WAITING |     READY |
|                126 |   3 |      READY |   RUNNING |
|                134 |   3 |    RUNNING |   WAITING |
|                134 |   2 |    WAITING |     READY |
|                134 |   1 |      READY |   RUNNING |
|                144 |   1 |    RUNNING |   WAITING |
|                144 |   3 |    WAITING |     READY |
|                144 |   4 |      READY |   RUNNING |
|                159 |   4 |    RUNNING |   WAITING |
|                159 |   1 |    WAITING |     READY |
|                159 |   5 |      READY |   RUNNING |
|                166 |   5 |    RUNNING |   WAITING |
|                166 |   2 |      READY |   RUNNING |
|                175 |   2 |    RUNNING | TERMINATED |
|                175 |   4 |    WAITING |     READY |
|                175 |   5 |    WAITING |     READY |
|                175 |  10 |        NEW |     READY |
|                175 |   3 |      READY |   RUNNING |
|                183 |   3 |    RUNNING |   WAITING |
|                183 |   1 |      READY |   RUNNING |
|                193 |   1 |    RUNNING | TERMINATED |
|                193 |   3 |    WAITING |     READY |
|                193 |   4 |      READY |   RUNNING |
|                208 |   4 |    RUNNING | TERMINATED |
|                208 |   9 |        NEW |     READY |
|                208 |   5 |      READY |   RUNNING |
|                215 |   5 |    RUNNING |   WAITING |
|                215 |  10 |      READY |   RUNNING |
|                219 |  10 |    RUNNING |   WAITING |
|                219 |   5 |    WAITING |     READY |
|                219 |   3 |      READY |   RUNNING |
|                227 |   3 |    RUNNING | TERMINATED |
|                227 |  10 |    WAITING |     READY |
|                227 |   6 |        NEW |     READY |
|                227 |   9 |      READY |   RUNNING |
|                237 |   9 |    RUNNING |   WAITING |
|                237 |   5 |      READY |   RUNNING |
