+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  5 |   1 |    RUNNING |   WAITING |
|                  5 |   2 |        NEW |     READY |
|                  5 |   3 |        NEW |     READY |
|                  5 |   4 |        NEW |     READY |
|                  5 |   5 |        NEW |     READY |
|                  5 |   2 |      READY |   RUNNING |
|                 12 |   2 |    RUNNING |   WAITING |
|                 12 |   1 |    WAITING |     READY |
|                 12 |   3 |      READY |   RUNNING |
|                 22 |   3 |    RUNNING |   WAITING |
|                 22 |   2 |    WAITING |     READY |
|                 22 |   4 |      READY |   RUNNING |
|                 27 |   4 |    RUNNING |   WAITING |
|                 27 |   5 |      READY |   RUNNING |
|                 36 |   5 |    RUNNING |   WAITING |
|                 36 |   3 |    WAITING |     READY |
|                 36 |   4 |    WAITING |     READY |
|                 36 |   1 |      READY |   RUNNING |
|                 41 |   1 |    RUNNING |   WAITING |
|                 41 |   2 |      READY |   RUNNING |
|                 48 |   2 |    RUNNING |   WAITING |
|                 48 |   5 |    WAITING |     READY |
|                 48 |   1 |    WAITING |     READY |
|                 48 |   3 |      READY |   RUNNING |
|                 58 |   3 |    RUNNING |   WAITING |
|                 58 |   2 |    WAITING |     READY |
|                 58 |   4 |      READY |   RUNNING |
|                 63 |   4 |    RUNNING |   WAITING |
|                 63 |   5 |      READY |   RUNNING |
|                 72 |   5 |    RUNNING |   WAITING |
|                 72 |   3 |    WAITING |     READY |
|                 72 |   4 |    WAITING |     READY |
|                 72 |   1 |      READY |   RUNNING |
|                 77 |   1 |    RUNNING | TERMINATED |
|                 77 |   2 |      READY |   RUNNING |
|                 83 |   2 |    RUNNING | TERMINATED |
|                 83 |   5 |    WAITING |     READY |
|                 83 |   7 |        NEW |     READY |
|                 83 |   3 |      READY |   RUNNING |
|                 88 |   3 |    RUNNING | TERMINATED |
|                 88 |   4 |      READY |   RUNNING |
|                 93 |   4 |    RUNNING |   WAITING |
|                 93 |   5 |      READY |   RUNNING |
|                102 |   5 |    RUNNING |   WAITING |
|                102 |   4 |    WAITING |     READY |
|                102 |  11 |        NEW |     READY |
|                102 |   7 |      READY |   RUNNING |
|                105 |   7 |    RUNNING |   WAITING |
|                105 |   4 |      READY |   RUNNING |
|                110 |   4 |    RUNNING |   WAITING |
|                110 |   5 |    WAITING |     READY |
|                110 |   7 |    WAITING |     READY |
|                110 |  14 |        NEW |     READY |
|                110 |  11 |      READY |   RUNNING |
|                114 |  11 |    RUNNING |   WAITING |
|                114 |   4 |    WAITING |     READY |
|                114 |   5 |      READY |   RUNNING |
|                123 |   5 |    RUNNING |   WAITING |
|                123 |  11 |    WAITING |     READY |
|                123 |   7 |      READY |   RUNNING |
|                126 |   7 |    RUNNING |   WAITING |
|                126 |  14 |      READY |   RUNNING |
|                128 |  14 |    RUNNING |   WAITING |
|                128 |   7 |    WAITING |     READY |
|                128 |   4 |      READY |   RUNNING |
|                133 |   4 |    RUNNING |   WAITING |
|                133 |   5 |    WAITING |     READY |
|                133 |  14 |    WAITING |     READY |
|                133 |  11 |      READY |   RUNNING |
|                137 |  11 |    RUNNING |   WAITING |
|                137 |   4 |    WAITING |     READY |
|                137 |   7 |      READY |   RUNNING |
|                140 |   7 |    RUNNING |   WAITING |
